,0,1,pdf_names,year,language,authors,title
86,-23.530832,20.471972,pdf_86.txt,2017,fr,"Florent Domenach, George Portides",Comparaison et Évaluation de Mesures de Similarité entre Concepts d'un Treillis
87,-5.192539,-15.018488,pdf_87.txt,2017,fr,"Emmanuelle Claeys, Pierre Gançarski, Myriam Maumy-Bertrand, Hubert Wassner",Conception d'un modèle généraliste pour l'évaluation d'un test A/B
88,36.67696,-6.8447766,pdf_88.txt,2017,fr,"Guillaume Bosc, Jean-François Boulicaut, Chedy Raïssi, Mehdi Kaytoue",Découverte de sous-groupes avec les arbres de recherche de Monte Carlo
89,-15.1321745,-26.920689,pdf_89.txt,2017,fr,Freddy Lécué,Deep Dive on Smart Cities by Scaling Reasoning and Interpreting the Semantics of IoT
90,23.610964,8.716805,pdf_90.txt,2017,fr,"Vincent Levorato, Michel Lutz, Matthieu Lagacherie",Défi EGC 2017: Modélisation Cost-Sensitive et Enrichissement de données
91,45.043823,-7.3469086,pdf_91.txt,2017,fr,"Moditha Hewasinghage, Suela Isaj, Arnaud Giacometti, Arnaud Soulet",Description interactive de l'intérêt de l'utilisateur via l'échantillonnage de motifs
92,5.7269735,35.88466,pdf_92.txt,2017,fr,"Cédric Maigrot, Vincent Claveau, Ewa Kijak",Détection de fausses informations dans les réseaux sociaux : vers des approches multi-modales
93,-35.57976,-28.681902,pdf_93.txt,2017,fr,"Wen Zhang, Raja Chiky, Manuel Pozo",Enhanced user-user collaborative filtering recommendation algorithm based on semantic ratings
94,8.965369,0.6157578,pdf_94.txt,2017,fr,"Haolin Ren, Marie-Luce Viaud, Guy Melançon",Evolution temporelle de communautés représentatives : mesures et visualisation
95,-5.380056,-9.047399,pdf_95.txt,2017,fr,"Jérémy Vizzini, Cyril Labbé, François Portet",Expression des connaissances en langage naturel : singularité et normalité d'une sélection
96,-23.387556,7.2841206,pdf_96.txt,2017,fr,"Anne Toulet, Emmanuel Roux, Anne-Elisabeth Laques, Eric Delaître, Laurent Demagistri, Isabelle Mougenot",Extraction automatique de paysages en imagerie satellitaire et enrichissement sémantique
97,36.9957,0.9181125,pdf_97.txt,2017,fr,"Yann Dauxais, David Gross-Amblard, Thomas Guyet, André Happe",Extraction de chroniques discriminantes
98,-23.578732,-15.88025,pdf_98.txt,2017,fr,"Cédric Lopez, Elena Cabrio, Frédérique Segond",Extraction de relations pour le peuplement d'une base de connaissance à partir de tweets
99,46.23201,-9.473072,pdf_99.txt,2017,fr,"Zhi Cheng, Frédéric Flouvat, Nazha Selmaoui-Folcher",Extraction des évolutions récurrentes dans un unique graphe dynamique attribué
100,-7.8102245,-0.89800274,pdf_100.txt,2017,fr,"Benjamin Hervy, Matthieu Quantin, Pierre Teissier",Extraction et chaînage supervisés de connaissances d'un corpus d'entretiens en histoire des sciences
101,-21.551918,6.139155,pdf_101.txt,2017,fr,"Harold Vilmart, Jean-Claude Léon, Federico Ulliana",Extraction et Inférence de Connaissances à partir d'Assemblages Mécaniques Définis par une Représentation CAO 3D
102,-0.68055004,-1.7300146,pdf_102.txt,2017,fr,"Adrien Dufraux, Benjamin Renoust, Shin’Ichi Satoh",Face2Graph: Base de données graphe et visualisation pour l'annotation d'archives vidéos
103,-13.194296,5.0925384,pdf_103.txt,2017,fr,"Pierrick Bruneau, Olivier Parisot, Thomas Tamisier",Faciliter les contributions personnelles pour préserver la mémoire des événements historiques
104,-13.672748,-3.9979756,pdf_104.txt,2017,fr,"Maxime Lefrançois, Antoine Zimmermann, Noorani Bakerally",Génération de RDF à partir de sources de données aux formats hétérogènes
105,1.0374031,-4.441692,pdf_105.txt,2017,fr,"Badre Belabbess, Jérémy Lhez, Olivier Curé",Gestion de Connaissances en Temps Réel depuis des Flux Massifs de Données et Apprentissage Automatique
106,-8.001913,13.834256,pdf_106.txt,2017,fr,Maxime Lefrançois,Interopérabilité sémantique libérale pour les services et les objets
107,17.35645,18.86456,pdf_107.txt,2017,fr,"Brieuc Conan-Guez, Alain Gély, Lydia Boudjeloud-Assala, Alexandre Blansché",K-Spectral Centroïd pour des données massives
108,-31.710518,-27.642693,pdf_108.txt,2017,fr,"Mohamed Guendouz, Abdelmalek Amine, Reda Mohamed Hamou",Machine Learning Based Classification of Android Apps through Text Features
